Date,Currency,Mean,Buy,Sell
13/01/2010,CHINESE YUAN,11.0632,11.0471,11.0794
13/01/2010,AUSTRALIAN $,69.8048,69.7016,69.9079
14/01/2010,US DOLLAR,75.4269,75.3306,75.5233
14/01/2010,STG POUND,122.658,122.489,122.828
14/01/2010,EURO,109.625,109.471,109.778
14/01/2010,SA RAND,10.2216,10.1957,10.2475
14/01/2010,KES/USHS,25.5215,25.4226,25.6204
14/01/2010,KES/TSHS,17.7391,17.6899,17.7883
14/01/2010,AE DIRHAM,20.5355,20.5065,20.5646
14/01/2010,CAN $,73.2141,73.097,73.3313
14/01/2010,S FRANC,74.145,74.0268,74.2632
14/01/2010,JPY(100),82.1585,82.0325,82.2844
14/01/2010,SW KRONER,10.7547,10.7357,10.7737
14/01/2010,NOR KRONER,13.4098,13.3842,13.4354
14/01/2010,DAN KRONER,14.7366,14.7124,14.7607
14/01/2010,IND RUPEE,1.6514,1.6491,1.6536
14/01/2010,HONGKONG $,9.7242,9.7117,9.7368
14/01/2010,SINGAPORE $,54.4049,54.308,54.5019
14/01/2010,SAUDI RIYAL,20.1136,20.0871,20.1401
14/01/2010,CHINESE YUAN,11.0485,11.0342,11.0628
14/01/2010,AUSTRALIAN $,70.0905,69.9896,70.1914
15/01/2010,US DOLLAR,75.4389,75.3444,75.5333
15/01/2010,STG POUND,123.162,122.992,123.332
15/01/2010,EURO,108.883,108.732,109.034
15/01/2010,SA RAND,10.1718,10.1416,10.202
15/01/2010,KES/USHS,25.5837,25.4854,25.6821
15/01/2010,KES/TSHS,17.7495,17.6876,17.8115
15/01/2010,AE DIRHAM,20.5388,20.5125,20.565
15/01/2010,CAN $,73.5015,73.3824,73.6206
15/01/2010,S FRANC,73.788,73.6693,73.9068
15/01/2010,JPY(100),82.819,82.7112,82.9268
15/01/2010,SW KRONER,10.6951,10.6744,10.7158
15/01/2010,NOR KRONER,13.3633,13.3391,13.3875
15/01/2010,DAN KRONER,14.6328,14.6138,14.6519
15/01/2010,IND RUPEE,1.652,1.6497,1.6543
15/01/2010,HONGKONG $,9.7234,9.7107,9.7361
15/01/2010,SINGAPORE $,54.3195,54.2241,54.4149
15/01/2010,SAUDI RIYAL,20.1168,20.0908,20.1428
15/01/2010,CHINESE YUAN,11.0501,11.0361,11.0641
15/01/2010,AUSTRALIAN $,70.0111,69.9046,70.1176
18/01/2010,US DOLLAR,75.8639,75.7694,75.9583
18/01/2010,STG POUND,123.553,123.384,123.722
18/01/2010,EURO,109.09,108.941,109.24
18/01/2010,SA RAND,10.2064,10.1831,10.2296
18/01/2010,KES/USHS,25.3745,25.277,25.472
18/01/2010,KES/TSHS,17.7094,17.6544,17.7644
18/01/2010,AE DIRHAM,20.6545,20.6282,20.6808
18/01/2010,CAN $,73.6637,73.5525,73.775
